Citing_DOI	Citing_Year	Cited_DOI	Cited_Year
10.1007/978-1-4419-5906-5_16	2011	10.1145/62212.62222	1988
10.1007/978-1-4419-5906-5_16	2011	10.1137/0220068	1991
10.1007/978-1-4419-5906-5_16	2011	10.1145/335305.335334	2000
10.1007/978-1-4419-5906-5_16	2011	10.1007/3-540-45539-6_30	2000
10.1007/978-1-4419-5906-5_16	2011	10.1145/276698.276853	1998
10.1007/978-1-4419-5906-5_16	2011	10.1137/0218012	1989
10.1007/978-1-4419-5906-5_16	2011	10.1145/116825.116852	1991
10.1007/978-1-4419-5906-5_16	2011	10.1017/cbo9780511546891	2001
10.1007/978-1-4419-5906-5_332	2011	10.1007/978-3-540-45146-4_35	2003
10.1007/978-1-4419-5906-5_332	2011	10.1007/11693383_1	2005
10.1007/978-1-4419-5906-5_332	2011	10.1007/s00145-007-9001-y	2008
10.1007/978-1-4419-5906-5_332	2011	10.1007/3-540-44495-5_5	2000
10.1007/978-1-4419-5906-5_332	2011	10.1007/3-540-44706-7_1	2000
10.1007/978-1-4419-5906-5_332	2011	10.1109/tit.2002.806129	2003
10.1007/978-1-4419-5906-5_332	2011	10.1007/978-3-540-30564-4_1	2004
10.1007/978-1-4419-5906-5_723	2011	10.1007/3-540-44499-8_24	2000
10.1007/978-1-4419-5906-5_769	2011	10.2200/s00126ed1v01y200808spt001	2008
10.1007/978-1-4419-5906-5_769	2011	10.1109/icsmc.2004.1400987	2004
10.1007/978-1-4419-5906-5_769	2011	10.1109/ipdps.2008.4536104	2008
10.1007/978-1-4419-5906-5_769	2011	10.1109/cis.2009.206	2009
10.1007/978-1-4419-5906-5_179	2011	10.1109/proc.1975.9939	1975
10.1007/978-1-4419-5906-5_179	2011	10.1109/sp.1987.10001	1987
10.1007/978-1-4419-5906-5_179	2011	10.1109/secpri.1989.36295	1989
10.1007/978-1-4419-5906-5_179	2011	10.1145/356850.356852	1981
10.1007/978-1-4419-5906-5_179	2011	10.1145/775265.775268	1974
10.1007/978-1-4419-5906-5_179	2011	10.1145/360303.360333	1976
10.1007/978-1-4419-5906-5_179	2011	10.1145/320473.320482	1976
10.1007/978-1-4419-5906-5_179	2011	10.1145/320263.320288	1978
10.1007/978-1-4419-5906-5_179	2011	10.1145/138873.138874	1992
10.1007/978-1-4419-5906-5_179	2011	10.1145/365230.365252	1966
10.1007/978-1-4419-5906-5_179	2011	10.1145/361011.361070	1974
10.1007/978-1-4419-5906-5_179	2011	10.1145/356678.356682	1976
10.1007/978-1-4419-5906-5_179	2011	10.1109/2.485845	1996
10.1007/978-1-4419-5906-5_179	2011	10.1109/2.241422	1993
10.1007/978-1-4419-5906-5_179	2011	10.1145/360051.360056	1976
10.1007/978-0-387-39940-9_2010	2009	10.1007/978-0-387-39940-9_570	2009
10.1007/978-0-387-39940-9_2002	2009	10.1007/978-0-387-39940-9_866	2009
10.1007/978-0-387-39940-9_2014	2009	10.1007/978-0-387-39940-9_916	2009
10.1007/978-0-387-39940-9_2006	2009	10.1007/978-0-387-39940-9_436	2009
10.1007/978-0-387-39940-9_2339	2009	10.1007/978-0-387-39940-9_92	2009
10.1007/978-0-387-39940-9_2011	2009	10.1007/978-0-387-39940-9_1326	2009
10.1007/978-0-387-39940-9_1407	2009	10.1007/bfb0053711	1997
10.1007/978-0-387-39940-9_1407	2009	10.1007/bfb0053710	1997
10.1007/978-0-387-39940-9_2012	2009	10.1007/978-0-387-39940-9_782	2009
10.1007/978-0-387-39940-9_1559	2009	10.1109/69.683757	1998
10.1007/978-0-387-39940-9_1559	2009	10.1007/bfb0014006	1994
10.1007/978-0-387-39940-9_1559	2009	10.1016/s1574-6526(05)80016-1	2005
10.1007/978-0-387-39940-9_1559	2009	10.1145/383891.383892	2001
10.1007/978-0-387-39940-9_1559	2009	10.1016/b978-012088469-8.50045-0	2004
10.1007/978-0-387-39940-9_1559	2009	10.1145/22952.22956	1987
10.1007/978-0-387-39940-9_1559	2009	10.1145/237661.237676	1996
10.1007/978-0-387-39940-9_1559	2009	10.1007/3-540-63792-3_11	1997
10.1007/978-0-387-39940-9_2337	2009	10.1007/978-0-387-39940-9_1328	2009
10.1007/978-0-387-39940-9_2004	2009	10.1007/978-0-387-39940-9_30	2009
10.1007/978-0-387-39940-9_2342	2009	10.1007/978-0-387-39940-9_684	2009
10.1007/978-0-387-39940-9_148	2009	10.1145/320434.320440	1976
10.1007/978-0-387-39940-9_148	2009	10.1016/0020-0255(83)90014-2	1983
10.1007/978-0-387-39940-9_148	2009	10.1016/s0169-023x(03)00049-1	2003
10.1007/978-0-387-39940-9_148	2009	10.1145/7474.7475	1986
10.1007/978-0-387-39940-9_2007	2009	10.1007/978-0-387-39940-9_122	2009
10.1007/978-0-387-39940-9_4	2009	10.1007/s00165-003-0012-7	2003
10.1007/978-0-387-39940-9_4	2009	10.1145/320544.320546	1977
10.1007/978-0-387-39940-9_2340	2009	10.1007/978-0-387-39940-9_104	2009
10.1007/978-0-387-39940-9_2336	2009	10.1007/978-0-387-39940-9_135	2009
10.1007/978-0-387-39940-9_2341	2009	10.1007/978-0-387-39940-9_97	2009
10.1145/582153.582190	1982	10.1145/567752.567763	1979
10.1145/582153.582190	1982	10.1145/357103.357111	1980
10.1145/582153.582190	1982	10.1145/800135.804423	1979
10.1145/582153.582190	1982	10.1145/362384.362685	1970
10.1145/582153.582190	1982	10.1145/1499949.1500029	1975
10.1145/567532.567537	1981	10.1137/0208017	1979
10.1145/567532.567537	1981	10.1145/567752.567763	1979
10.1145/567532.567537	1981	10.1007/3-540-08921-7_60	1978
10.1145/567532.567537	1981	10.1145/362384.362685	1970
10.1145/567532.567537	1981	10.1145/1734714.1734718	1971
10.1145/567532.567537	1981	10.1147/rd.206.0560	1976
10.1145/567532.567537	1981	10.1007/978-1-4684-3384-5_8	1977
10.1145/567532.567537	1981	10.1145/800135.804423	1979
10.1145/567532.567537	1981	10.1109/sfcs.1980.41	1980
10.1145/567532.567537	1981	10.1145/800105.803397	1977
10.1145/567532.567537	1981	10.1007/978-1-4684-3384-5	1978
10.1145/567532.567537	1981	10.1145/1499949.1500029	1975
10.1145/567532.567537	1981	10.1016/0020-0190(78)90055-8	1978
10.1145/567532.567537	1981	10.1007/978-1-4684-3384-5_15	1977
10.1145/567532.567537	1981	10.1016/0304-3975(76)90061-x	1976
10.1145/567532.567537	1981	10.1016/0306-4379(77)90005-9	1977
10.1145/567532.567537	1981	10.1147/sj.164.0324	1977
10.1145/567752.567763	1979	10.1137/0208017	1979
10.1145/567752.567763	1979	10.1145/362384.362685	1970
10.1145/567752.567763	1979	10.1145/800105.803397	1977
10.1145/567752.567763	1979	10.1016/0020-0190(78)90055-8	1978
10.1145/567752.567763	1979	10.1137/0207011	1978
10.1145/567752.567763	1979	10.1145/361020.361025	1975
10.1145/567752.567763	1979	10.1147/sj.164.0324	1977
10.1145/567752.567762	1979	10.1109/tse.1978.231494	1978
10.1145/567752.567762	1979	10.1007/3-540-07854-1_159	1976
10.1145/567752.567762	1979	10.1147/rd.206.0560	1976
10.1145/567752.567762	1979	10.1145/1734714.1734718	1971
10.1145/567752.567762	1979	10.1145/362384.362685	1970
10.1145/567752.567762	1979	10.1145/1282480.1282484	1975
10.1145/567752.567762	1979	10.1145/360363.360369	1976
10.1145/567752.567762	1979	10.1145/1282480.1282483	1975
10.1145/567752.567762	1979	10.1007/3-540-08860-1_20	1978
10.1145/567752.567762	1979	10.1145/1499949.1500029	1975
10.1145/567752.567762	1979	10.1145/320241.320242	1978
10.1145/567752.567762	1979	10.1145/509252.509269	1978
10.1145/567752.567762	1979	10.1007/bf00268134	1976
10.1145/567752.567762	1979	10.1109/sfcs.1976.27	1976
10.1145/567752.567762	1979	10.1145/320557.320568	1977
10.1145/567752.567762	1979	10.1109/sfcs.1976.12	1976
10.1109/pdis.1994.331713	1994	10.1109/2.43524	1989
10.1109/pdis.1994.331713	1994	10.1145/168619.168622	1993
10.1109/pdis.1994.331713	1994	10.1145/360248.360253	1976
10.1109/pdis.1994.331708	1994	10.1145/103162.103164	1991
10.1109/pdis.1994.331718	1994	10.1145/132271.132276	1992
10.1109/pdis.1994.331718	1994	10.1109/69.91062	1991
10.1109/pdis.1994.331718	1994	10.1145/44203.44208	1988
10.1109/pdis.1994.331718	1994	10.1145/93597.98730	1990
10.1109/pdis.1994.331718	1994	10.1109/icdcs.1994.302408	1994
10.1109/pdis.1994.331718	1994	10.1145/67544.66946	1989
10.1109/pdis.1994.331718	1994	10.1007/bf01264051	1993
10.1109/pdis.1994.331727	1994	10.1108/eb047254	1992
10.1109/pdis.1994.331710	1994	10.1145/176454.176500	1993
10.1109/pdis.1994.331710	1994	10.1007/3-540-08755-9_9	1978
10.1109/pdis.1994.331710	1994	10.1007/3-540-15975-4_41	1985
10.1109/pdis.1994.331710	1994	10.1007/bfb0017185	1992
10.1109/pdis.1994.331710	1994	10.1145/319566.319567	1981
10.1109/pdis.1994.331710	1994	10.1145/121132.121169	1991
10.1109/pdis.1994.331710	1994	10.1109/icdcs.1992.235116	1992
10.1109/pdis.1994.331710	1994	10.1145/143165.143176	1992
10.1109/pdis.1994.331710	1994	10.1093/comjnl/34.6.503	1991
10.1109/pdis.1994.331710	1994	10.1007/bfb0035102	1991
10.1109/pdis.1994.331710	1994	10.1145/135419.135448	1992
10.1109/pdis.1994.331710	1994	10.1109/icde.1994.282998	1994
10.1109/pdis.1994.331712	1994	10.1109/tse.1985.231857	1985
10.1109/pdis.1994.331712	1994	10.1109/32.21723	1989
10.1109/pdis.1994.331712	1994	10.1145/582250.582277	1980
10.1109/pdis.1994.331712	1994	10.1137/0213009	1984
10.1109/pdis.1994.331712	1994	10.1109/tse.1979.234179	1979
10.1109/pdis.1994.331712	1994	10.1145/5236.5241	1986
10.1109/pdis.1994.331712	1994	10.1145/114325.103713	1991
10.1109/pdis.1994.331712	1994	10.1109/tc.1987.1676856	1987
10.1109/pdis.1994.331737	1994	10.1145/121132.121164	1991
10.1109/pdis.1994.331737	1994	10.1145/98457.98509	1990
10.1109/pdis.1994.331737	1994	10.1145/168619.168629	1993
10.1109/pdis.1994.331737	1994	10.1145/170035.170077	1993
10.1109/pdis.1994.331737	1994	10.1145/168619.168634	1993
10.1109/pdis.1994.331737	1994	10.1145/800212.806497	1971
10.1109/pdis.1994.331737	1994	10.1109/pdis.1991.183096	1991
10.1109/pdis.1994.331737	1994	10.1109/tc.1986.1676699	1986
10.1109/pdis.1994.331737	1994	10.1109/pdis.1991.183101	1991
10.1109/pdis.1994.331737	1994	10.1145/29903.29914	1987
10.1109/pdis.1994.331737	1994	10.1145/989.990	1984
10.1109/pdis.1994.331737	1994	10.1145/115790.115857	1991
10.1109/pdis.1994.331737	1994	10.1145/50202.50214	1988
10.1109/pdis.1994.331737	1994	10.1145/155848.155855	1993
10.1109/pdis.1994.331737	1994	10.1145/323647.323633	1985
10.1109/pdis.1994.331737	1994	10.1145/582095.582099	1979
10.1109/pdis.1994.331737	1994	10.1145/3959.3961	1985
10.1109/pdis.1994.331737	1994	10.1145/185514.185516	1994
10.1109/pdis.1994.331737	1994	10.1145/358699.358703	1981
10.1109/pdis.1994.331728	1994	10.1016/0020-0190(90)90194-3	1990
10.1109/pdis.1994.331728	1994	10.1109/icde.1990.113497	1990
10.1109/pdis.1994.331728	1994	10.1145/41840.41841	1987
10.1109/pdis.1994.331728	1994	10.1016/0020-0190(91)90199-r	1991
10.1109/pdis.1994.331728	1994	10.1109/12.83661	1991
10.1109/pdis.1994.331728	1994	10.1109/reldis.1991.145421	1991
10.1109/pdis.1994.331728	1994	10.1145/138859.138860	1992
10.1109/pdis.1994.331728	1994	10.1109/icde.1992.213188	1992
10.1109/pdis.1994.331728	1994	10.1145/320071.320076	1979
10.1109/pdis.1994.331728	1994	10.1109/pdis.1994.331728	1994
10.1109/pdis.1994.331728	1994	10.1109/icde.1994.283049	1994
10.1109/pdis.1994.331728	1994	10.1145/176567.176573	1994
10.1109/pdis.1994.331717	1994	10.1109/ride.1993.281908	1993
10.1109/pdis.1994.331717	1994	10.1145/141356.141362	1991
10.1109/pdis.1994.331717	1994	10.1145/4229.4233	1985
10.1109/pdis.1994.331717	1994	10.1137/0215061	1986
10.1109/pdis.1994.331717	1994	10.1145/141356.141358	1991
10.1109/pdis.1994.331717	1994	10.1007/3-540-58183-9_61	1994
10.1109/pdis.1994.331717	1994	10.1145/96602.96604	1990
10.1109/pdis.1994.331732	1994	10.1145/319628.319650	1981
10.1109/pdis.1994.331732	1994	10.1145/800221.806714	1983
10.1109/pdis.1994.331732	1994	10.1145/63404.63406	1989
10.1109/pdis.1994.331732	1994	10.1145/50202.50213	1988
10.1109/pdis.1994.331732	1994	10.1145/325405.325443	1985
10.1109/pdis.1994.331732	1994	10.1145/509252.509292	1978
10.1109/pdis.1994.331732	1994	10.1109/pdis.1991.183106	1991
10.1109/pdis.1994.331732	1994	10.1145/35037.35059	1988
10.1109/pdis.1994.331732	1994	10.1109/12.24272	1989
10.1109/pdis.1994.331732	1994	10.1145/10590.10591	1986
10.1109/pdis.1994.331732	1994	10.1145/16894.16863	1986
10.1109/pdis.1994.331732	1994	10.1145/582095.582099	1979
10.1109/pdis.1994.331732	1994	10.1145/125223.125262	1991
10.1109/pdis.1994.331732	1994	10.1109/icde.1994.283004	1994
10.1109/pdis.1994.331732	1994	10.1109/32.121753	1992
10.1109/pdis.1994.331732	1994	10.1613/jair.2	1993
10.1109/pdis.1994.331726	1994	10.1109/2.231277	1993
10.1109/pdis.1994.331726	1994	10.1145/191839.191869	1994
10.1109/pdis.1994.331714	1994	10.1109/2.116888	1991
10.1109/pdis.1994.331714	1994	10.1007/978-1-4471-3225-7_7	1993
10.1109/pdis.1994.331714	1994	10.1109/ride.1993.281949	1993
10.1109/pdis.1994.331711	1994	10.1145/68012.68015	1989
10.1109/pdis.1994.331711	1994	10.1145/16894.16861	1986
10.1109/pdis.1994.331711	1994	10.1145/602259.602263	1984
10.1109/pdis.1994.331711	1994	10.1145/115790.115854	1991
10.1109/pdis.1994.331711	1994	10.1145/191839.191911	1994
10.1109/pdis.1994.331711	1994	10.1145/360363.360369	1976
10.1109/pdis.1994.331711	1994	10.1145/170035.170066	1993
10.1109/pdis.1994.331711	1994	10.1145/130283.130295	1992
10.1109/pdis.1994.331711	1994	10.1145/93597.98736	1990
10.1109/pdis.1994.331711	1994	10.1145/111197.111215	1991
10.1109/pdis.1994.331711	1994	10.1145/322217.322221	1980
10.1109/pdis.1994.331711	1994	10.1145/115790.115855	1991
10.1109/pdis.1994.331736	1994	10.1145/325164.325158	1990
10.1109/pdis.1994.331736	1994	10.1145/359024.359034	1980
10.1109/pdis.1994.331736	1994	10.1145/165123.165144	1993
10.1109/pdis.1994.331736	1994	10.1145/50202.50214	1988
10.1109/pdis.1994.331736	1994	10.1145/121132.121137	1991
10.1109/pdis.1994.331736	1994	10.1145/165123.165143	1993
10.1109/pdis.1994.331736	1994	10.1145/361268.361278	1972
10.1109/pdis.1994.331736	1994	10.1145/359970.359977	1976
10.1109/pdis.1994.331715	1994	10.1145/32204.32220	1987
10.1109/pdis.1994.331715	1994	10.1145/101077.390003	1990
10.1109/pdis.1994.331715	1994	10.1145/93597.98731	1990
10.1109/pdis.1994.331715	1994	10.1145/115790.115854	1991
10.1109/pdis.1994.331715	1994	10.1145/67544.66938	1989
10.1109/pdis.1994.331715	1994	10.1145/329.318578	1984
10.1109/pdis.1994.331715	1994	10.1007/bf01784024	1989
10.1109/pdis.1994.331715	1994	10.1145/122058.122070	1990
10.1109/pdis.1994.331715	1994	10.1145/130283.130321	1992
10.1109/pdis.1994.331715	1994	10.1145/182.358460	1983
10.1109/pdis.1994.331715	1994	10.1109/tse.1985.231865	1985
10.1109/pdis.1994.331715	1994	10.1109/32.121754	1992
10.1109/pdis.1994.331725	1994	10.1145/170035.170041	1993
10.1109/pdis.1994.331725	1994	10.1145/128765.128766	1992
10.1109/pdis.1994.331725	1994	10.1145/129888.129894	1992
10.1109/pdis.1994.331725	1994	10.1145/191839.191915	1994
10.1109/pdis.1994.331723	1994	10.1007/3-540-19074-0_67	1988
10.1109/pdis.1994.331723	1994	10.1145/88636.87848	1990
10.1109/pdis.1994.331723	1994	10.1145/115790.115854	1991
10.1109/pdis.1994.331723	1994	10.1145/191839.191845	1994
10.1109/pdis.1994.331723	1994	10.1109/icde.1993.344051	1993
10.1109/pdis.1994.331723	1994	10.1109/icde.1994.283007	1994
10.1109/pdis.1994.331723	1994	10.1007/bf01762111	1988
10.1109/pdis.1994.331723	1994	10.1145/75104.75105	1989
10.1109/pdis.1994.331723	1994	10.1145/16894.16860	1986
10.1109/pdis.1994.331723	1994	10.1109/12.54838	1990
10.1109/pdis.1994.331723	1994	10.1109/tse.1987.232834	1987
10.1109/pdis.1994.331730	1994	10.1109/icdcs.1993.287697	1993
10.1109/pdis.1994.331730	1994	10.1145/170035.170092	1993
10.1109/pdis.1994.331730	1994	10.1109/icdcs.1994.302386	1994
10.1109/pdis.1994.331730	1994	10.1145/155848.155853	1993
10.1109/pdis.1994.331730	1994	10.1145/128738.128742	1991
10.1109/pdis.1994.331730	1994	10.1109/icdcs.1994.302385	1994
10.1109/pdis.1994.331730	1994	10.1145/214451.214456	1985
10.1109/pdis.1994.331730	1994	10.1145/155049.155062	1993
10.1109/pdis.1994.331730	1994	10.1145/194313.194317	1994
10.1109/pdis.1994.331730	1994	10.1145/115992.116014	1991
10.1109/pdis.1994.331730	1994	10.1016/0196-6774(90)90022-7	1990
10.1109/pdis.1994.331730	1994	10.1145/146941.146942	1992
10.1109/pdis.1994.331730	1994	10.1145/359545.359563	1978
10.1109/pdis.1994.331730	1994	10.1145/3959.3962	1985
10.1109/pdis.1994.331730	1994	10.1109/pdis.1991.183102	1991
10.1109/pdis.1994.331730	1994	10.1145/115992.116012	1991
10.1109/pdis.1994.331709	1994	10.1007/3-540-51324-8_40	1989
10.1109/pdis.1994.331709	1994	10.1145/114325.103715	1991
10.1109/pdis.1994.331709	1994	10.1109/dpds.1988.675014	1988
10.1109/pdis.1994.331733	1994	10.1145/319989.319991	1983
10.1109/pdis.1994.331733	1994	10.1145/602259.602261	1984
10.1109/pdis.1994.331733	1994	10.1109/12.24307	1989
10.1109/pdis.1994.331733	1994	10.1109/2.60877	1990
10.1109/pdis.1994.331733	1994	10.1007/978-1-4613-1679-4_6	1987
10.1109/pdis.1994.331733	1994	10.1016/0020-0190(89)90207-x	1989
10.1109/pdis.1994.331733	1994	10.1109/69.87979	1989
10.1109/pdis.1994.331733	1994	10.1145/67544.66937	1989
10.1109/pdis.1994.331721	1994	10.1145/322358.322363	1983
10.1109/pdis.1994.331721	1994	10.1007/bfb0032448	1992
10.1109/pdis.1994.331721	1994	10.1145/151634.151639	1993
10.1109/pdis.1994.331716	1994	10.1109/ride.1993.281908	1993
10.1109/pdis.1994.331716	1994	10.1145/27633.27634	1986
10.1109/pdis.1994.331716	1994	10.1137/0215061	1986
10.1109/pdis.1994.331716	1994	10.1145/141356.141358	1991
10.1109/pdis.1994.331716	1994	10.1109/tse.1987.233490	1987
10.1109/pdis.1994.331716	1994	10.1007/3-540-55015-1_10	1991
10.1109/pdis.1994.331716	1994	10.1145/96602.96604	1990
10.1109/pdis.1994.331719	1994	10.1007/bfb0032443	1992
10.1109/pdis.1994.331719	1994	10.1145/5505.5508	1985
10.1109/pdis.1994.331719	1994	10.1016/b978-1-4832-1313-2.50019-6	1988
10.1109/pdis.1994.331719	1994	10.1145/41840.41841	1987
10.1109/pdis.1994.331719	1994	10.1145/319983.319985	1983
10.1109/pdis.1994.331719	1994	10.1145/75577.75583	1990
10.1109/pdis.1994.331719	1994	10.1109/icdcs.1992.235054	1992
10.1109/pdis.1994.331719	1994	10.1109/tse.1986.6312966	1986
10.1109/pdis.1994.331719	1994	10.1145/62546.62547	1988
10.1109/pdis.1994.331719	1994	10.1016/0306-4379(88)90012-9	1988
10.1109/pdis.1994.331719	1994	10.1145/50202.50215	1988
10.1109/pdis.1994.331719	1994	10.1109/icde.1990.113498	1990
10.1109/pdis.1994.331719	1994	10.1016/s0019-9958(86)80028-6	1986
10.1109/pdis.1994.331719	1994	10.1145/7239.7265	1986
10.1109/pdis.1994.331719	1994	10.1145/298514.298587	1990
10.1109/pdis.1994.331719	1994	10.1145/298514.298586	1990
10.1109/pdis.1994.331734	1994	10.1145/67544.66937	1989
10.1109/pdis.1994.331722	1994	10.1093/comjnl/34.6.534	1991
10.1109/pdis.1994.331722	1994	10.1145/88636.87848	1990
10.1109/pdis.1994.331722	1994	10.1145/358468.358487	1982
10.1109/pdis.1994.331722	1994	10.1145/5505.5508	1985
10.1109/pdis.1994.331722	1994	10.1145/41840.41841	1987
10.1109/pdis.1994.331722	1994	10.1145/156883.156888	1993
10.1109/pdis.1994.331722	1994	10.1145/121132.121166	1991
10.1109/pdis.1994.331722	1994	10.1145/138873.138877	1992
10.1109/pdis.1994.331722	1994	10.1145/359545.359563	1978
10.1109/pdis.1994.331722	1994	10.1145/198153.198164	1994
10.1109/pdis.1994.331722	1994	10.1145/357436.357439	1983
10.1109/pdis.1994.331722	1994	10.1109/tse.1983.236733	1983
10.1109/pdis.1994.331722	1994	10.1145/800216.806605	1981
10.1109/pdis.1994.331722	1994	10.1109/12.54838	1990
10.1109/pdis.1994.331722	1994	10.1145/2080.2081	1984
10.1109/pdis.1994.331722	1994	10.1109/pdis.1991.183102	1991
10.1109/pdis.1994.331729	1994	10.1145/115992.116013	1991
10.1109/pdis.1994.331729	1994	10.1145/115992.116014	1991
10.1109/pdis.1994.331729	1994	10.1145/10590.10600	1986
10.1109/pdis.1994.331729	1994	10.1145/115992.116012	1991
10.1109/pdis.1994.331729	1994	10.1145/168619.168641	1993
10.1109/pdis.1994.331724	1994	10.1109/pdis.1991.183107	1991
10.1109/pdis.1994.331724	1994	10.1109/69.50903	1990
10.1109/pdis.1994.331724	1994	10.1007/3-540-55599-4_130	1992
10.1109/pdis.1994.331724	1994	10.1109/pdis.1993.253070	1993
10.1109/pdis.1994.331724	1994	10.1109/69.50905	1990
10.1109/pdis.1994.331724	1994	10.1145/93597.98720	1990
10.1109/pdis.1994.331724	1994	10.1145/319732.319745	1982
10.1109/pdis.1994.331724	1994	10.1145/62061.62063	1988
10.1109/pdis.1994.331724	1994	10.1145/582192.582227	1983
10.1109/pdis.1994.331724	1994	10.1145/93597.98734	1990
10.1109/pdis.1994.331724	1994	10.1145/320435.320564	1985
10.1109/pdis.1994.331724	1994	10.1145/22952.22955	1987
10.1109/pdis.1994.331720	1994	10.1109/pdis.1993.253073	1993
10.1109/pdis.1994.331720	1994	10.1145/67544.66956	1989
10.1109/pdis.1994.331720	1994	10.1145/93597.98744	1990
10.1109/pdis.1994.331720	1994	10.1145/357353.357355	1983
10.1109/pdis.1994.331707	1994	10.1109/32.24726	1989
10.1109/pdis.1994.331707	1994	10.1109/2.84878	1991
10.1109/pdis.1994.331707	1994	10.1109/ride.1993.281930	1993
10.1109/pdis.1994.331707	1994	10.1109/ride.1992.227426	1992
10.1109/pdis.1994.331735	1994	10.1145/143365.143380	1992
10.1109/pdis.1994.331735	1994	10.1145/602259.602261	1984
10.1109/pdis.1994.331735	1994	10.1145/41457.37516	1987
10.1109/pdis.1994.331735	1994	10.1007/3-540-08755-9_9	1978
10.1109/pdis.1994.331735	1994	10.1145/289.291	1983
10.1109/pdis.1994.331735	1994	10.1145/989.990	1984
10.1109/pdis.1994.331735	1994	10.1145/170035.170082	1993
10.1109/pdis.1994.331735	1994	10.1007/3-540-57301-1_22	1993
10.1109/pdis.1994.331735	1994	10.1145/65762.65765	1989
10.1109/pdis.1994.331735	1994	10.1145/50202.50214	1988
10.1109/pdis.1994.331735	1994	10.1145/121132.121137	1991
10.1109/pdis.1994.331735	1994	10.1145/93597.98722	1990
10.1109/pdis.1994.331735	1994	10.1145/165123.165143	1993
10.1145/319757.319790	1999	10.1109/icde.1997.581777	1997
10.1145/319757.319790	1999	10.1109/icde.1996.492099	1996
10.1145/319757.319790	1999	10.1145/237661.237688	1996
10.1145/319757.319790	1999	10.1007/bfb0100983	1998
10.1145/319757.319790	1999	10.1109/ssdm.1997.621175	1997
10.1145/319757.319790	1999	10.1145/238355.238444	1996
10.1145/319757.319790	1999	10.1007/3-540-52342-1_18	1990
10.1145/319757.319790	1999	10.1109/69.234778	1993
10.1145/319757.319790	1999	10.1109/tse.1985.231851	1985
10.1145/319757.319790	1999	10.1145/263661.263682	1997
10.1145/319757.319790	1999	10.1016/0020-0255(83)90015-4	1983
10.1145/319757.319787	1999	10.1145/233269.233333	1996
10.1145/319757.319787	1999	10.1109/icdcs.1997.603380	1997
10.1145/319757.319787	1999	10.1007/3-540-62222-5_39	1997
10.1145/319757.319787	1999	10.1109/pdis.1996.568677	1996
10.1145/319757.319780	1999	10.1145/320434.320440	1976
10.1145/319757.319780	1999	10.1145/240455.240470	1996
10.1145/319757.319780	1999	10.1109/icde.1997.581802	1997
10.1145/319757.319793	1999	10.1145/304182.304214	1999
10.1145/319757.319793	1999	10.1109/icde.1996.492099	1996
10.1145/319757.319793	1999	10.1023/a:1009777418785	1997
10.1145/319757.319793	1999	10.1145/233269.233333	1996
10.1145/319757.319793	1999	10.1145/223784.223801	1995
10.1145/319757.319793	1999	10.1145/253260.253288	1997
10.1145/294260.294273	1998	10.1145/253260.253355	1997
10.1145/294260.294273	1998	10.1145/170035.170066	1993
10.1145/294260.294273	1998	10.1109/icde.1999.754935	1999
10.1145/294260.294273	1998	10.1145/212433.220198	1995
10.1145/294260.294273	1998	10.1007/bfb0100996	1998
10.1145/294260.294273	1998	10.1145/253260.253352	1997
10.1145/319757.319791	1999	10.1109/icde.1997.581777	1997
10.1145/319757.319791	1999	10.1007/bfb0100985	1998
10.1145/319757.319791	1999	10.1109/icde.1999.754950	1999
10.1145/319757.319791	1999	10.1007/bfb0100983	1998
10.1145/319757.319791	1999	10.1145/221270.221319	1995
10.1145/294260.294269	1998	10.1109/icde.1996.492099	1996
10.1145/294260.294269	1998	10.1023/a:1009777418785	1997
10.1145/294260.294269	1998	10.1109/69.204089	1993
10.1145/294260.294269	1998	10.1145/233269.233333	1996
10.1145/294260.294269	1998	10.1145/253260.253288	1997
10.1145/319757.319786	1999	10.1109/icde.1997.581755	1997
10.1145/319757.319786	1999	10.1007/3-540-49257-7_28	1999
10.1145/319757.319786	1999	10.1145/233269.233333	1996
10.1145/319757.319786	1999	10.1145/233269.233361	1996
10.1145/319757.319797	1999	10.1109/ssdm.1998.688108	1998
10.1145/319757.319797	1999	10.1016/0306-4379(95)98559-v	1995
10.1145/319757.319797	1999	10.1145/271074.271094	1997
10.1145/319757.319797	1999	10.1109/mass.1995.528223	1995
10.1145/319757.319797	1999	10.1109/mass.1999.830026	1999
10.1145/319757.319797	1999	10.1109/ideas.1998.694371	1998
10.1145/319757.319797	1999	10.1109/icde.1994.283048	1994
10.1145/319757.319797	1999	10.1109/ssdm.1997.621153	1997
10.1145/294260.294261	1998	10.1145/360762.360766	1975
10.1145/294260.294261	1998	10.1007/3-540-62222-5_39	1997
10.1145/294260.294261	1998	10.1109/icde.1997.581755	1997
10.1145/294260.294261	1998	10.1145/233269.233333	1996
10.1145/294260.294261	1998	10.1145/221270.221319	1995
10.1145/294260.294261	1998	10.1145/359461.359475	1977
10.1145/319757.319783	1999	10.1145/248603.248616	1997
10.1145/319757.319783	1999	10.1007/3-540-57818-8_61	1994
10.1145/319757.319783	1999	10.1109/icde.1996.492099	1996
10.1145/319757.319783	1999	10.1145/304182.304215	1999
10.1145/319757.319788	1999	10.1145/238355.238444	1996
10.1145/319757.319788	1999	10.1007/978-3-540-49121-7_9	1998
10.1145/319757.319788	1999	10.1007/3-540-48309-8_31	1999
