conference	authors	title	year	DOI
Proceedings of the International Conference on Software Testing, Verification and Validation	N. Lazaar, A. Gotlieb, and Y. Lebbah	A Framework for the Automatic Correction of Constraint Programs	2011	10.1109/icst.2011.41
International Conference on Software Testing, Verification and Validation (ICST)	M.Z. Malik, J.H. Siddiqi, and S. Khurshid	Constraint-Based Program Debugging Using Data Structure Repair	2011	10.1109/icst.2011.65
Tech. rep. arXiv:1102.1059v2	Yu Pei, Yi Wei, Carlo A Furia, Martin Nordio, and Bertrand Meyer	Code-Based Automated Program Fixing	2011	10.1109/ase.2011.6100080
Proceedings of the International Symposium on Software Testing and Analysis	Zachary P. Fry, Bryan Landau, and Westley Weimer	A Human Study of Patch Maintainability	2012	10.1145/2338965.2336775
Proceedings of the International Conference on Software Engineering	C. Le Goues, M. Dewey-Vogt, S. Forrest, and W. Weimer	A Systematic Study of Automated Program Repair: Fixing 55 Out of 105 Bugs for $8 Each	2012	10.1109/icse.2012.6227211
IEEE Transactions on Software Engineering	Claire Le Goues, ThanhVu Nguyen, Stephanie Forrest, and Westley Weimer	Gen-Prog: a Generic Method for Automatic Software Repair	2012	NOT_FOUND
Proceedings of the 2012 International Conference on Software Engineering	Peng Liu and Charles Zhang	Axis: Automatically Fixing Atomicity Violations Through Solving Control Constraints	2012	10.1109/icse.2012.6227184
Proceedings of the 27th ACM International Conference on Object Oriented Programming Systems Languages and Applications	Francesco Logozzo and Tom Ball	Modular and Verified Automatic Program Repair	2012	10.1145/2398857.2384626
Science China Information Sciences	YuHua Qi, XiaoGuang Mao, YanJun Wen, ZiYing Dai, and Bin Gu	More Efficient Automatic Repair of Large-scale Programs Using Weak Recompilation	2012	10.1007/s11432-012-4741-1
17th IEEE European Test Symposium	Urmas Repinski, Hanno Hantson, Maksim Jenihhin, Jaan Raik, Raimund Ubar, Giuseppe Di Guglielmo, Graziano Pravadelli, and Franco Fummi	Combining dynamic slicing and mutation operators for ESL correction	2012	10.1109/ets.2012.6233020
Proceedings of ICSE	Hesam Samimi, Max Schäfer, Shay Artzi, Todd D. Millstein, Frank Tip, and Laurie J. Hendren	Automated Repair of HTML Generation Errors in PHP Applications Using String Constraint Solving	2012	10.1109/icse.2012.6227186
IEEE 13th International Working Conference on Source Code Analysis and Manipulation, SCAM 2013	Vipin Balachandran	Fix-it: An extensible code auto-fix component in review bot	2013	10.1109/scam.2013.6648198
Proceedings of the International Conference on Software Engineering	Zack Coker and Munawar Hafiz	Program Transformations to Fix C Integers	2013	10.1109/icse.2013.6606625
Proceedings of CASCON	Youry Khmelevsky, Martin C Rinard, and Stelios Sidiroglou-Douskos	A Source-to-source Transformation Tool for Error Fixing	2013	NOT_FOUND
Proceedings of ICSE	Dongsun Kim, Jaechang Nam, Jaewoo Song, and Sunghun Kim	Automatic Patch Generation Learned From Human-Written Patches	2013	NOT_FOUND
PhD thesis. University of Virgina	Claire Le Goues	Automatic Program Repair Using Genetic Programming	2013	NOT_FOUND
Software Quality Journal	Claire Le Goues, Stephanie Forrest, and Westley Weimer	Current Challenges in Automatic Software Repair	2013	10.1007/s11219-013-9208-0
International Conference on Software Testing, Verification and Validation	Maurizio Leotta, Diego Clerissi, Filippo Ricca, and Cristiano Spadaro	Repairing Selenium Test Cases: an Industrial Case Study about Web Page Element Localization	2013	10.1109/icst.2013.73
Proceedings of the International Conference on Software Testing, Verification and Validation (ICST)	Chen Liu, Jinqiu Yang, Lin Tan, and Munawar Hafiz	R2Fix: Automatically Generating Bug Fixes From Bug Reports	2013	10.1109/icst.2013.24
Semantics, Abstract Interpretation, and Reasoning About Programs: Essays Dedicated to David A. Schmidt on the Occasion of His Sixtieth Birthday	Francesco Logozzo and Matthieu Martel	Automatic Repair of Overflowing Expressions with Abstract Interpretation	2013	10.4204/eptcs.129.21
"Research Report Dagstuhl Seminar 13061 ""Fault Prediction, Localization, and Repair"". Schloss Dagstuhl - Leibniz Center for Informatics"	Martin Monperrus and Benoit Baudry	Two Flavors in Automated Software Repair: Rigid Repair and Plastic Repair	2013	NOT_FOUND
Proceedings of the International Conference on Software Engineering	Hoang Duong Thien Nguyen, Dawei Qi, Abhik Roychoudhury, and Satish Chandra	SemFix: Program Repair via Semantic Analysis	2013	10.1109/icse.2013.6606623
Proceedings of ICSM	Y. Qi, X. Mao, and Y. Lei	Efficient Automated Program Repair Through Fault-Recorded Testing Prioritization	2013	10.1109/icsm.2013.29
ACM SIGPLAN Notices	Rishabh Singh, Sumit Gulwani, and Armando Solar-Lezama	Automated Feedback Generation for Introductory Programming Assignments	2013	10.1145/2499370.2462195
Proceedings of the Network and Distributed System Security Symposium	Sooel Son, Kathryn S McKinley, and Vitaly Shmatikov	Fix Me Up: Repairing Access-Control Bugs in Web Applications	2013	NOT_FOUND
International Conference on Automated Software Engineering	Westley Weimer, Zachary P. Fry, and Stephanie Forrest	Leveraging program equivalence for adaptive program repair: Models and first results	2013	10.1109/ase.2013.6693094
Proceedings of the 6th International Workshop on Constraints in Software Testing, Verification, and Analysis (CSTVA 2014)	Favio Demarco, Jifeng Xuan, Daniel Le Berre, and Martin Monperrus	Automatic Repair of Buggy If Conditions and Missing Preconditions with SMT	2014	10.1145/2593735.2593740
Proceedings of the 36th International Conference on Software Engineering	Divya Gopinath, Sarfraz Khurshid, Diptikalyan Saha, and Satish Chandra	Data-guided Repair of Selection Statements	2014	10.1145/2568225.2568303
Proceedings of the 2014 International Symposium on Software Testing and Analysis (ISSTA’14)	René Just, Darioush Jalali, and Michael D. Ernst	Defects4J: A Database of Existing Faults to Enable Controlled Testing Studies for Java Programs	2014	10.1145/2610384.2628055
Proceedings of the International Conference on Software Engineering	Shalini Kaleeswaran, Varun Tulsian, Aditya Kanade, and Alessandro Orso	Minthint: Automated Synthesis of Repair Hints	2014	10.1145/2568225.2568258
Proceedings of the 2014 International Symposium on Software Testing and Analysis	Yiyan Lin and Sandeep Kulkarni	Automatic Repair for Multi-threaded Programs with Deadlock/Livelock Using Maximum Satisfiability	2014	10.1145/2610384.2610398
ACM SIGPLAN Notices	Fan Long, Stelios Sidiroglou-Douskos, Deokhwan Kim, and Martin Rinard	Sound Input Filter Generation for Integer Overflow Errors	2014	10.1145/2578855.2535888
PhD thesis. Université de Lille	Matias Martinez	Extraction and Analysis of Knowledge for Automatic Software Repair	2014	NOT_FOUND
ICSE - 36th IEEE International Conference on Software Engineering	Matias Martinez, Westley Weimer, and Martin Monperrus	Do the Fix Ingredients Already Exist? An Empirical Inquiry into the Redundancy Assumptions of Program Repair Approaches	2014	10.1145/2591062.2591114
International Conference on Software Engineering	Martin Monperrus	"A Critical Review of ""Automatic Patch Generation Learned from Human-Written Patches"": Essay on the Problem Statement and the Evaluation of Automatic Software Repair"	2014	10.1145/2568225.2568324
Proceedings of the 36th International Conference on Software Engineering	Frolin S Ocariza Jr, Karthik Pattabiraman, and Ali Mesbah	Vejovis: suggesting fixes for JavaScript faults	2014	10.1145/2568225.2568257
Proceedings of the 36th International Conference on Software Engineering	Yuhua Qi, Xiaoguang Mao, Yan Lei, Ziying Dai, and Chengsong Wang	The Strength of Random Search on Automated Program Repair	2014	NOT_FOUND
International Static Analysis Symposium	Roopsha Samanta, Oswaldo Olivo, and E Allen Emerson	Cost-aware Automatic Program Repair	2014	NOT_FOUND
International Conference on Dependable Systems and Networks	Alex Shaw, Dusten Doggett, and Munawar Hafiz	Automatically Fixing C Buffer Overflows Using Program Transformations	2014	10.1109/dsn.2014.25
Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering	Yida Tao, Jindae Kim, Sunghun Kim, and Chang Xu	Automatically Generated Patches As Debugging Aids: a Human Study	2014	NOT_FOUND
Detection of Intrusions and Malware, and Vulnerability Assessment	Tielei Wang, Chengyu Song, and Wenke Lee	Diagnosis and Emergency Patch Generation for Integer Overflow Exploits	2014	NOT_FOUND
IEEE Transactions on Software Engineering	Andreas Zeller, Yi Wei, Bertrand Meyer, Martin Nordio, Carlo A. Furia, and Yu Pei	Automated Fixing of Programs with Contracts	2014	10.1109/tse.2014.2312918
PhD thesis. Université de Lille	Benoit Cornu	Automatic Analysis and Repair of Exception Bugs for Java Programs	2015	NOT_FOUND
Foundations of Software Engineering	Aritra Dhar, Rahul Purandare, Mohan Dhawan, and Suresh Rangaswamy	CLOTHO: Saving Programs from Malformed Strings and Incorrect String-handling	2015	10.1145/2786805.2786877
Tech. rep. hal-01162221. HAL	Thomas Durieux, Matias Martinez, Martin Monperrus, Romain Sommerard, and Jifeng Xuan	Automatic Repair of Real Bugs: An Experience Report on the Defects4J Dataset	2015	NOT_FOUND
Proceedings of the 37th International Conference on Software Engineering	Qing Gao, Yingfei Xiong, Yaqing Mi, Lu Zhang, Weikun Yang, Zhaoping Zhou, Bing Xie, and Hong Mei	Safe Memory-leak Fixing for C Programs	2015	10.1109/icse.2015.64
Proceedings of the 30th IEEE/ACM International Conference on Automated Software Engineering	Qing Gao, Hansheng Zhang, Jie Wang, Yingfei Xiong, Lu Zhang, and Hong Mei	Fixing Recurring Crash Bugs via Analyzing Q&A Sites	2015	10.1109/ase.2015.81
